tokenized_text,relevances,true label,predicted label
"['fears', 'for', 't', 'n', 'pension', 'after', 'talks', 'unions', 'representing', 'workers', 'at', 'turner', 'newall', 'say', 'they', 'are', ""disappointed'after"", 'talks', 'with', 'stricken', 'parent', 'firm', 'federal', 'mogul']","[0.10211534890620981, 0.11771401448231901, 0.09627641505058325, 0.1347512889862344, 0.06297693703482315, 0.13981933234437768, 0.11857837276476128, 0.03993992442116393, 0.09230975372288652, 0.07532539698468427, 0.09468775064381516, 0.1701692653902197, 0.16950667918268691, 0.11336309249337438, 0.047170162200927734, 0.02743841629946215, 0.005737423616777983, 0.051885295849690184, 0.017828196115945938, 0.09008246999085458, 0.12734678886191986, 0.06803726415664035, 0.06895880974028455, 0.003581976810819144]",2,2
"['the', 'race', 'is', 'on', 'second', 'private', 'team', 'sets', 'launch', 'date', 'for', 'human', 'spaceflight', 'space', 'com', 'space', 'com', 'toronto', 'canada', 'a', 'second', 'team', 'of', 'rocketeers', 'competing', 'for', 'the', '36', '10', 'million', 'ansari', 'x', 'prize', 'a', 'contest', 'for', 'privately', 'funded', 'suborbital', 'space', 'flight', 'has', 'officially', 'announced', 'the', 'first', 'launch', 'date', 'for', 'its', 'manned', 'rocket']","[3.4150861094564634e-05, 0.0006954647042067831, 0.00023071873901299854, 0.00027756716615650744, 0.0011388691926924293, 0.0006345367595538118, 0.00036726144223764783, 0.0005953596372877403, 0.00021102480949156328, 6.937585270509e-05, 7.220723869209819e-05, 0.0001058383428561631, 8.921219177601678e-05, 0.00012171956825748435, 0.001202404147317984, 0.0, 0.002591082841417862, 1.8827665594025927e-05, 0.00024382131059652885, 0.0002250338848422971, 7.770629243962645e-05, 5.504425302526667e-05, 0.0003882946413596038, 5.2836716918893744e-05, 5.240996055632492e-05, 0.0, 1.4840550603484002e-05, 0.0, 1.4280066592246785e-05, 0.00010203662360730517, 2.332948173947233e-05, 0.0002915788587656303, 0.0004109113812824091, 8.739019471474926e-05, 0.00012548697832617526, 3.3959808476137245e-05, 5.141613434010046e-05, 9.207567005243974e-05, 4.657460242632532e-05, 2.4908560451191904e-05, 9.800720208299504e-05, 7.957973595356924e-05, 5.429682759378049e-05, 6.642589426974753e-05, 3.260197756740491e-05, 0.00012646749110669338, 9.747118034560548e-06, 0.00014990448357434313, 3.2156962110468446e-06, 9.789915479278706e-06, 9.991036420936762e-05, 7.596546437473094e-06]",3,3
"['ky', 'company', 'wins', 'grant', 'to', 'study', 'peptides', 'ap', 'ap', 'a', 'company', 'founded', 'by', 'a', 'chemistry', 'researcher', 'at', 'the', 'university', 'of', 'louisville', 'won', 'a', 'grant', 'to', 'develop', 'a', 'method', 'of', 'producing', 'better', 'peptides', 'which', 'are', 'short', 'chains', 'of', 'amino', 'acids', 'the', 'building', 'blocks', 'of', 'proteins']","[0.04164694104087112, 0.16390920540018236, 0.012739942665981009, 0.014785821812093774, 0.0, 0.026395781108204796, 0.18192407036751912, 0.168758199385953, 0.2001306020029516, 0.23174860745308815, 0.015453662111905695, 0.08010663231925201, 0.02831304137361351, 0.0016460218219439058, 0.042892572585589046, 0.006885906786069695, 0.0230315919483699, 0.0, 0.0, 0.0, 0.016539290970516006, 0.020998539751169755, 0.01666862567175363, 0.0, 0.0, 0.022349639792245798, 0.0, 0.006643676672893129, 0.008090265262293067, 0.02155965359545811, 0.005171084041020643, 0.11584491938766603, 0.0324909925105708, 0.021936139083379727, 0.017141547027282312, 0.006991609632392299, 0.0030669149526480707, 0.0, 0.0, 0.04390182174910587, 0.0, 0.00818067680736684, 0.014587012191699304, 0.0]",3,3
"['prediction', 'unit', 'helps', 'forecast', 'wildfires', 'ap', 'ap', ""it's"", 'barely', 'dawn', 'when', 'mike', 'fitzpatrick', 'starts', 'his', 'shift', 'with', 'a', 'blur', 'of', 'colorful', 'maps', 'figures', 'and', 'endless', 'charts', 'but', 'already', 'he', 'knows', 'what', 'the', 'day', 'will', 'bring', 'lightning', 'will', 'strike', 'in', 'places', 'he', 'expects', 'winds', 'will', 'pick', 'up', 'moist', 'places', 'will', 'dry', 'and', 'flames', 'will', 'roar']","[0.0004733694852347305, 0.00016554560424251945, 0.00032817443097385717, 0.003270294123493893, 0.04531601212597424, 0.04229262406692942, 0.014741343813131474, 0.008183882648536292, 7.603855734323861e-05, 0.0003645276937991806, 0.00012855030613586566, 0.008939584699229796, 0.0002291584779667275, 0.00016702893092026294, 0.00010916040239131496, 0.00015728284819536894, 0.00023797970787612055, 3.4344949386322016e-06, 0.00010982311157244556, 0.00013550740933886867, 0.00020379320763632398, 0.000242355382159018, 0.00010378759438075268, 0.00014853303602224252, 0.00021350228613587895, 0.00019125668980994788, 7.131733596238323e-05, 4.077016183707609e-05, 3.185923251942405e-05, 5.29190565063726e-05, 8.142654638629267e-05, 8.670361515300353e-06, 1.573198442208676e-05, 0.0, 9.023438628804242e-05, 0.00020332295662661847, 3.452966208052706e-05, 8.4552436074401e-05, 9.021623140467842e-05, 0.000151923618555947, 0.00016719156530743267, 9.790403166070123e-05, 0.0003857645569357584, 2.2995471954345704e-05, 8.877546234090619e-05, 6.059482714386305e-05, 0.0003362738043459465, 0.00019031024045314913, 3.977810045640569e-05, 8.466623223332512e-05, 3.675887725272629e-05, 0.0001248907492441384, 0.0, 6.936192512512207e-05]",3,3
"['calif', 'aims', 'to', 'limit', 'farm-related', 'smog', 'ap', 'ap', 'southern', ""california's"", 'smog-fighting', 'agency', 'went', 'after', 'emissions', 'of', 'the', 'bovine', 'variety', 'friday', 'adopting', 'the', ""nation's"", 'first', 'rules', 'to', 'reduce', 'air', 'pollution', 'from', 'dairy', 'cow', 'manure']","[0.11568738012606654, 0.03824590297701859, 0.0, 0.05740915564153392, 0.05997988659874434, 0.09384892767281759, 0.10613025963532505, 0.19847020147657962, 0.018632381127386823, 0.05682183713894995, 0.09278989683832858, 0.09547510374698999, 0.04188419916862194, 0.0235637871167786, 0.06474571693550657, 0.021335992719452395, 0.01705044326459176, 0.015497074315152855, 0.012817576427591149, 0.06621254588721218, 0.11019200182791264, 0.0, 0.03239658812099846, 0.00925543882343062, 0.03648826698604992, 0.0, 0.014843659668318313, 0.04979934844875778, 0.06805857587088472, 0.0528590529277077, 0.022473539631549036, 0.01657026568672586, 0.0]",3,3
"['open', 'letter', 'against', 'british', 'copyright', 'indoctrination', 'in', 'schools', 'the', 'british', 'department', 'for', 'education', 'and', 'skills', 'dfes', 'recently', 'launched', 'a', 'music', 'manifesto', 'campaign', 'with', 'the', 'ostensible', 'intention', 'of', 'educating', 'the', 'next', 'generation', 'of', 'british', 'musicians', 'unfortunately', 'they', 'also', 'teamed', 'up', 'with', 'the', 'music', 'industry', 'emi', 'and', 'various', 'artists', 'to', 'make', 'this', 'popular', 'emi', 'has', 'apparently', 'negotiated', 'their', 'end', 'well', 'so', 'that', 'children', 'in', 'our', 'schools', 'will', 'now', 'be', 'indoctrinated', 'about', 'the', 'illegality', 'of', 'downloading', 'music', 'the', 'ignorance', 'and', 'audacity', 'of', 'this', 'got', 'to', 'me', 'a', 'little', 'so', 'i', 'wrote', 'an', 'open', 'letter', 'to', 'the', 'dfes', 'about', 'it', 'unfortunately', ""it's"", 'pedantic', 'as', 'i', 'suppose', 'you', 'have', 'to', 'be', 'when', 'writing', 'to', 'goverment', 'representatives', 'but', 'i', 'hope', 'you', 'find', 'it', 'useful', 'and', 'perhaps', 'feel', 'inspired', 'to', 'do', 'something', 'similar', 'if', 'or', 'when', 'the', 'same', 'thing', 'has', 'happened', 'in', 'your', 'area']","[0.00044689480144157633, 0.0002044201210047309, 0.0004482514064979882, 0.0004835384358995454, 0.000275038878592575, 0.0007660499879198946, 0.00018250749149994469, 0.0006282942595672668, 0.0, 0.00045582570571389355, 0.0003623340514650297, 0.00017035282468848983, 7.040179656137037e-06, 0.0, 0.00013907675352631783, 0.00017696921782266433, 0.00021541026918512428, 0.000280581949719629, 0.0001302093326974348, 0.0004212726952492332, 0.00030524587582291684, 0.005046584306591273, 0.0, 1.60380311782643e-05, 0.00013070541440986117, 6.233026104499903e-05, 8.131514496450073e-07, 0.00021696527452520973, 0.00010291715518599112, 4.42242115181769e-05, 0.0, 0.0, 0.0002454219517224361, 0.00030222650166730964, 0.00902467594896103, 8.882351058189043e-05, 0.00010254267754470724, 0.00024002470327420857, 0.0, 0.0, 3.1852952983938215e-05, 0.00013515219577643717, 0.00022067388330369633, 0.003970780760536064, 0.00018588025860742974, 7.741161270986983e-05, 0.00018838880057934156, 0.0, 0.00013877398579693363, 0.0001301691537587798, 0.000274851309364171, 0.00017922514641167776, 0.00016354343659626241, 0.00017882431548722668, 7.307851061140481e-05, 8.286831209869103e-05, 0.00011957449080577238, 0.002100046432398423, 0.00018256684639254657, 8.125910488616535e-05, 0.00024240191872149992, 1.9817324969733367e-05, 0.00036085168473701885, 9.824308430678889e-05, 1.8024459034461496e-05, 0.00016232925635292265, 5.261788961010368e-05, 0.00016589214047419597, 0.0011287231609044578, 4.345010575011019e-05, 0.00017557434397581366, 1.7290167666135945e-05, 0.00021067933975049718, 0.0005736025679176737, 0.0003298860727532866, 0.0005096083732741377, 5.381778673308404e-06, 0.00014399548907448805, 9.019561474351856e-06, 0.0005890341020485627, 0.00013724175943599336, 0.0, 9.149556099791578e-05, 0.0, 0.00010532964851938719, 0.0008755362525751506, 0.0, 0.0001768146434594998, 0.0, 0.0, 0.0, 0.0, 0.00029328146816849074, 0.0006257956270205115, 0.00042605332948174264, 0.0002462351640744061, 0.0024185002226960782, 0.00012825194998082888, 0.0001575074566258097, 0.0001676363849438125, 6.396549591088715e-05, 5.9519812860107685e-05, 0.0001063945649047337, 0.0002278295772682887, 0.0, 0.00014661740264040792, 0.00010943217417255682, 0.00013470645471600807, 9.21472138207114e-05, 0.0003530835235387149, 0.0014226918799507518, 0.0006767593576281264, 2.7394294738769533e-05, 6.593061989449743e-05, 5.1180500398321955e-05, 0.0, 6.487081830678572e-05, 0.0002726275730786301, 1.0764439694183402e-05, 0.00015203241237211199, 0.00011328291268450256, 0.00018983219892017416, 0.0, 9.531079722077637e-05, 6.592536652379649e-05, 0.0007344552132297996, 0.0009264765908522977, 0.0005961023405313635, 0.00013874585112661736, 3.9148962555935286e-05, 4.269045110636288e-05, 2.3846694005464765e-05, 9.591344216453456e-05, 1.1255084044885133e-05, 6.042030247926953e-05, 7.621703997233721e-05, 0.00033875793666076595]",3,3
"['loosing', 'the', 'war', 'on', 'terrorism', 'sven', 'jaschan', 'self-confessed', 'author', 'of', 'the', 'netsky', 'and', 'sasser', 'viruses', 'is', 'responsible', 'for', '70', 'percent', 'of', 'virus', 'infections', 'in', '2004', 'according', 'to', 'a', 'six-month', 'virus', 'roundup', 'published', 'wednesday', 'by', 'antivirus', 'company', 'sophos', 'the', '18-year-old', 'jaschan', 'was', 'taken', 'into', 'custody', 'in', 'germany', 'in', 'may', 'by', 'police', 'who', 'said', 'he', 'had', 'admitted', 'programming', 'both', 'the', 'netsky', 'and', 'sasser', 'worms', 'something', 'experts', 'at', 'microsoft', 'confirmed', 'a', 'microsoft', 'antivirus', 'reward', 'program', 'led', 'to', 'the', ""teenager's"", 'arrest', 'during', 'the', 'five', 'months', 'preceding', ""jaschan's"", 'capture', 'there', 'were', 'at', 'least', '25', 'variants', 'of', 'netsky', 'and', 'one', 'of', 'the', 'port-scanning', 'network', 'worm', 'sasser', 'graham', 'cluley', 'senior', 'technology', 'consultant', 'at', 'sophos', 'said', 'it', 'was', 'staggeri']","[4.567376104956796e-05, 2.7945488943427234e-05, 3.3892450825532355e-05, 0.0, 0.0004321773297084107, 4.1062951382326775e-05, 4.064343507108741e-05, 4.4748529767914594e-05, 2.880128562227368e-05, 0.0, 4.814712530792806e-06, 4.25790698537354e-05, 1.0452513034086789e-05, 2.2104801711473152e-05, 1.0531578327501267e-06, 4.434782241782209e-05, 0.0, 0.0, 2.9890697629315708e-06, 1.344612971809824e-05, 0.0, 0.00010705872238976155, 4.095843007127217e-05, 0.00010049383214719947, 0.0001116305906296747, 0.0, 0.0, 1.898519708409484e-05, 2.667843509144821e-05, 3.499029231155467e-05, 1.649679122048264e-05, 3.616159561961148e-05, 2.7106837063947952e-05, 1.7945688827181447e-05, 6.73229435125672e-05, 2.0014902954980733e-05, 1.5012847060720206e-05, 2.4716588408321672e-05, 1.4722251403786546e-05, 1.350695391726081e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 2.794476429228336e-05, 0.0, 8.257852773853207e-06, 1.9031053602976184e-06, 7.150671578422577e-05, 6.140232847871073e-06, 7.050480110378564e-06, 6.013738127515352e-07, 6.451176037852479e-06, 2.161270958266993e-06, 8.285038238708108e-06, 5.851357616276798e-06, 0.0, 2.5747384918890425e-05, 0.0, 1.0095997003089076e-05, 2.3119130670752335e-05, 1.757130774851183e-05, 2.1156665654385296e-05, 2.2734116265401376e-05, 1.4609662477668953e-05, 2.1047230193716048e-05, 7.85851671908113e-06, 2.2714413592111622e-05, 2.201719174946676e-05, 8.57029792776848e-06, 3.246155027035305e-06, 2.4196483828317993e-05, 0.0, 1.0057399508767196e-06, 2.4150164710324756e-05, 1.1478913229146548e-05, 6.16777492479477e-06, 0.0, 1.9047349996659637e-06, 5.961138634173708e-06, 1.646096906320379e-05, 1.9044862899580432e-06, 6.633603931314533e-07, 0.0, 1.6274675669568639e-06, 0.0, 0.0, 2.4987264272335686e-06, 1.3723058748868211e-05, 0.0, 3.700151399022152e-05, 3.94864164459044e-06, 1.840730271307714e-05, 1.5993949542586355e-05, 1.8102549813011375e-06, 2.6561720528544305e-05, 2.7804700423514703e-05, 2.361399497028781e-05, 2.2718139183382567e-05, 1.71075835414932e-05, 2.8602573755190207e-05, 1.240697546308979e-05, 7.080442250720286e-06, 1.9130380306600276e-05, 1.6580189037829265e-05, 0.0, 2.7112911535037065e-05, 8.802852479630639e-07, 6.338731575350465e-06, 2.139872235907914e-08]",3,3
"['foafkey', 'foaf', 'pgp', 'key', 'distribution', 'and', 'bloom', 'filters', 'foaf', 'loaf', 'and', 'bloom', 'filters', 'have', 'a', 'lot', 'of', 'interesting', 'properties', 'for', 'social', 'network', 'and', 'whitelist', 'distribution', 'i', 'think', 'we', 'can', 'go', 'one', 'level', 'higher', 'though', 'and', 'include', 'gpg', 'openpgp', 'key', 'fingerpring', 'distribution', 'in', 'the', 'foaf', 'file', 'for', 'simple', 'web-of-trust', 'based', 'key', 'distribution', 'what', 'if', 'we', 'used', 'foaf', 'and', 'included', 'the', 'pgp', 'key', 'fingerprint', 's', 'for', 'identities', 'this', 'could', 'mean', 'a', 'lot', 'you', 'include', 'the', 'pgp', 'key', 'fingerprints', 'within', 'the', 'foaf', 'file', 'of', 'your', 'direct', 'friends', 'and', 'then', 'include', 'a', 'bloom', 'filter', 'of', 'the', 'pgp', 'key', 'fingerprints', 'of', 'your', 'entire', 'whitelist', 'the', 'source', 'foaf', 'file', 'would', 'of', 'course', 'need', 'to', 'be', 'encrypted', 'your', 'whitelist', 'would', 'be', 'populated', 'from', 'the', 'social', 'network', 'as', 'your', 'client', 'discovered', 'new', 'identit']","[0.00024455416941291384, 0.00019010569653075162, 0.0003703113080021974, 0.0001177011326487649, 0.00020404080724564414, 0.00048634780974048824, 0.0005862092276312378, 9.258257722893056e-05, 0.00019914696240699788, 0.00019191538717943998, 0.0001120856910090788, 0.00013155610770669912, 0.00011641357793667421, 0.00021140529692236355, 0.0, 6.131738983733512e-05, 2.278963931241928e-06, 5.5863863811187554e-05, 0.0001043497634664658, 0.00011559303026478439, 0.0, 4.154616617322645e-05, 0.00016710934615831558, 0.00010442300624044109, 0.00038047665541212896, 0.00020929509180284042, 0.0001334343620293682, 6.584419594507271e-05, 2.065838823174102e-05, 5.875238731217754e-05, 1.4318139743866956e-05, 3.172925284321523e-05, 4.9523663689883765e-05, 0.0009534867292780778, 0.00010773352228866333, 0.00012788395240937695, 2.7899106716669496e-05, 0.00015218556708997046, 0.0, 0.000272449105325903, 7.435084217522662e-05, 0.00010826616109090434, 3.2073117015524904e-05, 6.662881461022312e-05, 1.0432311359120699e-05, 6.575673213465656e-05, 8.625533752014068e-05, 0.00014971779456576665, 0.00021062984813738665, 0.00015657206547720252, 5.642496437153879e-05, 0.0004120991043028856, 3.270194348895497e-05, 8.680987862233824e-05, 6.622909147655213e-05, 0.0003639335724979678, 0.00014090402769391017, 0.0002252876150566734, 0.00011796863043418789, 7.705114531493323e-05, 0.0, 0.00041394294882934614, 2.407356265396403e-06, 0.0006220898730388026, 0.0005158616174633822, 0.00012870278401328776, 4.983843655027428e-05, 0.0003073654818726067, 0.0, 0.00013173260548858607, 0.0009128892711356673, 5.3152425927548705e-05, 3.3637059206224846e-05, 5.4550433144350287e-05, 1.7805339972313525e-05, 7.047618933441706e-05, 8.310673861207137e-06, 2.98512176909154e-06, 6.737792757731871e-05, 9.3446154368131e-06, 2.9775125027668322e-05, 0.0, 0.00010168556560213888, 3.0507158533098847e-05, 0.0006719578742521837, 1.2771637355590702e-05, 6.414774699747282e-05, 7.569535662920232e-05, 5.89712116288702e-05, 3.7078595645636316e-05, 4.622091016687261e-05, 6.4196167077237414e-06, 5.147697475198973e-05, 0.0, 9.476632978443143e-05, 1.324487035741416e-05, 2.4293881958987975e-05, 9.857087150984628e-05, 7.3958083864902e-05, 8.138612349615351e-05, 5.3839965898707063e-05, 0.0002317818045377853, 1.3422225630260113e-05, 1.0806354791334966e-06, 0.0, 0.0, 6.743495761743046e-07, 0.0, 0.0, 8.331456767110287e-05, 4.2190019848947865e-05, 6.318616111231276e-05, 2.369914755809653e-05, 6.098635872337555e-07, 5.2894288388430004e-05, 3.2588767928375403e-05, 1.7153494186917703e-05, 5.705796357898013e-05, 2.0774577956398927e-05, 0.00010060694829406777, 5.159199687681824e-05, 4.675488710453985e-05, 9.609814036907018e-05, 6.474788254677756e-05, 1.8745280786553325e-05]",3,3
"['e-mail', 'scam', 'targets', 'police', 'chief', 'wiltshire', 'police', 'warns', 'about', 'phishing', 'after', 'its', 'fraud', 'squad', 'chief', 'was', 'targeted']","[0.0020978420009761, 0.0033139601980987686, 0.002780387796701902, 0.0025593391860257316, 0.0037533199978133955, 0.008525994153002637, 0.0025861951191597744, 0.0021306435534152023, 0.001052713728641094, 0.06561823672854097, 0.001967755935664973, 0.0009035809773749315, 0.0065532442981919275, 0.002908564121951821, 0.0037512174923233013, 0.00487761985144382, 0.02462618547663882]",3,3
"['card', 'fraud', 'unit', 'nets', '36', '000', 'cards', 'in', 'its', 'first', 'two', 'years', 'the', ""uk's"", 'dedicated', 'card', 'fraud', 'unit', 'has', 'recovered', '36', '000', 'stolen', 'cards', 'and', '171', 'arrests', 'and', 'estimates', 'it', 'saved', '65m']","[0.0591309881224722, 0.11255795703275785, 0.06863039719358606, 0.12876655869931652, 0.06697912712387269, 0.03939124412596356, 0.15651156099436114, 0.020869988746851104, 0.0285799960499072, 0.0036975922300370796, 0.015706965685569202, 0.06911213422308986, 0.11391129918629202, 0.23854173333392187, 0.022577895268184395, 0.04696112766195626, 0.16122473025127812, 0.0, 0.04889900046649253, 0.07965932388394088, 0.02036517213658631, 0.06045720633307712, 0.21636654630108962, 0.1474526840510977, 0.02830046584797174, 0.041792140130916665, 0.17944909631284084, 0.03290558834303622, 0.07214855201334035, 0.048595561385834325, 0.04613725039148297, 0.0]",3,2
